scan_id,filename_scan,physical_plate_id,archive_id,expected_file_size,fits_checksum,candidate_ids,selection_roles,candidate_count_using_scan,filename_scan_raw,scan_basename,normalized_repository_relative_scan,scan_reference_source,plate_page_url,plate_page_cached,plate_page_refetched_v079b,plate_page_exact_basename_present,resolved_scan_url,url_resolution_method,range_probe_ok,range_probe_http_status,range_probe_content_range,range_probe_content_length,range_probe_reported_total_bytes,range_probe_expected_size_match,range_probe_error,url_resolution_status
398,DR4/scans/HAM-LA/LA00577_x.fits,405,101,1611489600,YTZAbSZ6ZSZAaSZ3,293985,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA00577_x.fits,LA00577_x.fits,DR4/scans/HAM-LA/LA00577_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_405/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA00577_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/1611489600,2880,1611489600,True,,RESOLVED
400,DR4/scans/HAM-LA/LA00578_x.fits,406,101,1027598400,HiUqIhUnHhUnHhUn,293710;294166,POSITIVE_STRICT_RECURRENCE_CONTROL,2,DR4/scans/HAM-LA/LA00578_x.fits,LA00578_x.fits,DR4/scans/HAM-LA/LA00578_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_406/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA00578_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/1027598400,2880,1027598400,True,,RESOLVED
403,DR4/scans/HAM-LA/LA00579_y.fits,407,101,1602362880,SgnaSekXSekaSekW,293964,POSITIVE_STRICT_RECURRENCE_CONTROL,1,DR4/scans/HAM-LA/LA00579_y.fits,LA00579_y.fits,DR4/scans/HAM-LA/LA00579_y.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_407/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA00579_y.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/1602362880,2880,1602362880,True,,RESOLVED
2369,DR4/scans/HAM-LA/LA02355_x.fits,2113,101,1312349760,YdZAabX3TbX9YbX9,293327,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA02355_x.fits,LA02355_x.fits,DR4/scans/HAM-LA/LA02355_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_2113/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA02355_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/1312349760,2880,1312349760,True,,RESOLVED
6332,DR4/scans/HAM-LA/LA05466_x.fits,5146,101,1306978560,AJieDHiZAHibAHiZ,293327,POSITIVE_STRICT_RECURRENCE_CONTROL,1,DR4/scans/HAM-LA/LA05466_x.fits,LA05466_x.fits,DR4/scans/HAM-LA/LA05466_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_5146/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA05466_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/1306978560,2880,1306978560,True,,RESOLVED
6367,DR4/scans/HAM-LA/LA05491_y.fits,5171,101,1314996480,aVIYaSHYaSHYaSHY,293892,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA05491_y.fits,LA05491_y.fits,DR4/scans/HAM-LA/LA05491_y.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_5171/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA05491_y.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/1314996480,2880,1314996480,True,,RESOLVED
6637,DR4/scans/HAM-LA/LA05690_x.fits,5367,101,430951680,8GH389F18EF189F1,293565,POSITIVE_STRICT_RECURRENCE_CONTROL,1,DR4/scans/HAM-LA/LA05690_x.fits,LA05690_x.fits,DR4/scans/HAM-LA/LA05690_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_5367/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA05690_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/430951680,2880,430951680,True,,RESOLVED
6852,DR4/scans/HAM-LA/LA05839_x.fits,5514,101,432230400,ck0aeh0Xch0ach0W,294179,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA05839_x.fits,LA05839_x.fits,DR4/scans/HAM-LA/LA05839_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_5514/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA05839_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/432230400,2880,432230400,True,,RESOLVED
6921,DR4/scans/HAM-LA/LA05888_y.fits,5562,101,426124800,82I4A2I312I382I3,293995,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA05888_y.fits,LA05888_y.fits,DR4/scans/HAM-LA/LA05888_y.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_5562/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA05888_y.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/426124800,2880,426124800,True,,RESOLVED
6926,DR4/scans/HAM-LA/LA05892_x.fits,5565,101,427155840,3Dak69Yh3Aah39Yh,294166,CONTEXTUAL_3_TO_15_ARCSEC_CONTROL,1,DR4/scans/HAM-LA/LA05892_x.fits,LA05892_x.fits,DR4/scans/HAM-LA/LA05892_x.fits,FROZEN_REPOSITORY_RELATIVE_FILENAME_SCAN,https://www.plate-archive.org/objects/dr.4/plates/101_5565/,True,False,True,https://www.plate-archive.org/files/DR4/scans/HAM-LA/LA05892_x.fits,DIRECT_FROM_FROZEN_DR4_SCAN_FILENAME_PLUS_RANGE_PROBE,True,206,bytes 0-2879/427155840,2880,427155840,True,,RESOLVED
