rank,exposure_a,archive_a,site_a,start_a_utc,duration_a_s,ra_a_deg,dec_a_deg,fov_a_deg,exposure_b,archive_b,site_b,start_b_utc,duration_b_s,ra_b_deg,dec_b_deg,fov_b_deg,midpoint_delta_minutes,center_sep_deg,overlap_fraction_smaller,interval_overlap_s,involves_poss,score,true_wcs_overlap_fraction_poss_approx,true_wcs_intersection,exposure_b_legacy,poss_recno_b,exposure_a_legacy,poss_recno_a,end_a_utc,end_b_utc,actual_exposure_overlap_s,actual_exposure_overlap_minutes,overlap_fraction_a,overlap_fraction_b
1,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43437,Harvard DASCH,DASCH unresolved,1951-11-05 07:00:59.999999981+00:00,3480.0,56.99458284834484,21.91621452439747,91.653214213621,POSS-I:413:E:rec297,POSS-I Palomar,Palomar Observatory,1951-11-05 07:00:00+00:00,3600.0,28.07125,30.72,6.5,0.0,27.28484845368943,1.0,3480.0,True,85,1.0,True,POSS-I:413:E,297.0,,,1951-11-05 07:58:59.999999981+00:00,1951-11-05 08:00:00+00:00,3480.0,58.0,1.0,0.9666666666666667
2,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43330,Harvard DASCH,DASCH unresolved,1951-09-10 08:01:59.999982994+00:00,3480.0,16.25445115024166,19.60009884057209,91.49685600020432,POSS-I:368:E:rec192,POSS-I Palomar,Palomar Observatory,1951-09-10 08:01:00+00:00,3600.0,358.81166666666667,48.80694444444444,6.5,2.833333333333334e-07,32.39934211951269,1.0,3480.0,True,85,1.0,True,POSS-I:368:E,192.0,,,1951-09-10 08:59:59.999982994+00:00,1951-09-10 09:01:00+00:00,3480.0,58.0,1.0,0.9666666666666667
3,DASCH:ivo://org.gavo.dc/~?dasch/q/fa12998,Harvard DASCH,DASCH unresolved,1952-09-18 07:00:00.000005446+00:00,3420.0,356.7035413078454,1.8578125249869584,90.6036476403506,POSS-I:606:E:rec348,POSS-I Palomar,Palomar Observatory,1952-09-18 07:02:00+00:00,3600.0,359.01625,31.078888888888887,6.5,3.4999999,29.30280491233526,1.0,3300.000005,True,85,1.0,True,POSS-I:606:E,348.0,,,1952-09-18 07:57:00.000005446+00:00,1952-09-18 08:02:00+00:00,3300.000005446,55.00000009076667,0.964912282294152,0.9166666681794445
4,POSS-I:320:E:rec463,POSS-I Palomar,Palomar Observatory,1951-08-13 09:08:00+00:00,3000.0,349.8070833333333,18.7925,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ka02524,Harvard DASCH,DASCH unresolved,1951-08-13 09:03:00.000000584+00:00,3660.0,349.99178290933213,35.73348701291052,81.51590046552528,0.5,16.9417721149699,1.0,3000.0,True,85,1.0,True,,,POSS-I:320:E,463.0,1951-08-13 09:58:00+00:00,1951-08-13 10:04:00.000000584+00:00,3000.0,50.0,1.0,0.819672131147541
5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai44467,Harvard DASCH,DASCH unresolved,1954-06-29 07:02:59.999990945+00:00,3540.0,248.8620262505512,21.406009686880218,91.57713751769856,POSS-I:1102:E:rec140,POSS-I Palomar,Palomar Observatory,1954-06-29 07:10:00+00:00,3000.0,266.7420833333333,53.95472222222222,6.5,2.50000015,35.266560590639585,1.0,3000.0,True,85,1.0,True,POSS-I:1102:E,140.0,,,1954-06-29 08:01:59.999990945+00:00,1954-06-29 08:00:00+00:00,3000.0,50.0,0.847457627118644,1.0
6,DASCH:ivo://org.gavo.dc/~?dasch/q/fa12528,Harvard DASCH,DASCH unresolved,1951-02-04 05:33:59.999981083+00:00,5100.0,116.5731833567315,53.43788139363872,90.61968612690966,POSS-I:236:E:rec425,POSS-I Palomar,Palomar Observatory,1951-02-04 05:54:00+00:00,3000.0,122.08666666666667,17.575555555555557,6.5,2.5000003000000004,36.11848379760766,1.0,3000.0,True,85,1.0,True,POSS-I:236:E,425.0,,,1951-02-04 06:58:59.999981083+00:00,1951-02-04 06:44:00+00:00,3000.0,50.0,0.5882352941176471,1.0
7,DASCH:ivo://org.gavo.dc/~?dasch/q/kh00192,Harvard DASCH,DASCH unresolved,1951-08-13 09:00:00.000013201+00:00,3600.0,4.194620076808971,-7.781839083699936,80.38328711563202,POSS-I:320:E:rec463,POSS-I Palomar,Palomar Observatory,1951-08-13 09:08:00+00:00,3000.0,349.8070833333333,18.7925,6.5,2.999999766666667,30.124459072052552,1.0,3000.0,True,85,1.0,True,POSS-I:320:E,463.0,,,1951-08-13 10:00:00.000013201+00:00,1951-08-13 09:58:00+00:00,3000.0,50.0,0.8333333333333334,1.0
8,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43280,Harvard DASCH,DASCH unresolved,1951-08-13 09:00:00.000013201+00:00,3600.0,3.028439705316796,29.81831881959302,91.53763840043648,POSS-I:320:E:rec463,POSS-I Palomar,Palomar Observatory,1951-08-13 09:08:00+00:00,3000.0,349.8070833333333,18.7925,6.5,2.999999766666667,16.30719940053318,1.0,3000.0,True,85,1.0,True,POSS-I:320:E,463.0,,,1951-08-13 10:00:00.000013201+00:00,1951-08-13 09:58:00+00:00,3000.0,50.0,0.8333333333333334,1.0
9,DASCH:ivo://org.gavo.dc/~?dasch/q/kh00158,Harvard DASCH,DASCH unresolved,1951-07-30 07:01:59.999996409+00:00,3480.0,318.030731247535,-7.9453697431351635,80.77715600112795,POSS-I:293:E:rec754,POSS-I Palomar,Palomar Observatory,1951-07-30 07:09:00+00:00,3000.0,296.0054166666667,-11.653333333333334,6.5,3.00000005,22.010470886119183,1.0,3000.0,True,85,1.0,True,POSS-I:293:E,754.0,,,1951-07-30 07:59:59.999996409+00:00,1951-07-30 07:59:00+00:00,3000.0,50.0,0.8620689655172413,1.0
10,POSS-I:340:E:rec231,POSS-I Palomar,Palomar Observatory,1951-09-03 04:01:00+00:00,3000.0,286.1566666666667,42.22027777777778,6.5,DASCH:ivo://org.gavo.dc/~?dasch/q/ai43301,Harvard DASCH,DASCH unresolved,1951-09-03 03:57:00.000003600+00:00,3840.0,308.94988161061445,19.943272030449457,91.46284240330588,3.00000005,29.42512421207612,1.0,3000.0,True,85,1.0,True,,,POSS-I:340:E,231.0,1951-09-03 04:51:00+00:00,1951-09-03 05:01:00.000003600+00:00,3000.0,50.0,1.0,0.78125
